 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
3830,4D-U-Z4.tif,0.001,0.117,0.968,0.044,429,281,150.255,0.033,1.185,0.844,0.909
3831,4D-U-Z4.tif,0.005,0.402,0.365,0.125,880,281,138.576,0.070,1.778,0.562,0.777
3832,4D-U-Z4.tif,0.011,0.502,0.572,0.172,834,285,153.435,0.116,1.464,0.683,0.825
3833,4D-U-Z4.tif,0.002,0.258,0.395,0.096,206,290,13.241,0.044,2.410,0.415,0.742
3834,4D-U-Z4.tif,0.012,0.588,0.445,0.177,930,308,53.842,0.137,1.285,0.778,0.739
3835,4D-U-Z4.tif,0.009,0.481,0.477,0.143,8,299,22.620,0.110,1.156,0.865,0.785
3836,4D-U-Z4.tif,0.002,0.183,0.581,0.075,358,288,17.103,0.039,1.991,0.502,0.750
3837,4D-U-Z4.tif,0.006,0.554,0.244,0.134,615,284,170.538,0.088,1.162,0.860,0.671
3838,4D-U-Z4.tif,0.002,0.224,0.442,0.083,770,284,172.405,0.041,2.183,0.458,0.667
3839,4D-U-Z4.tif,0.004,0.366,0.365,0.113,331,292,14.036,0.074,1.414,0.707,0.624
3840,4D-U-Z4.tif,0.025,0.779,0.511,0.243,510,291,142.352,0.175,1.400,0.714,0.816
3841,4D-U-Z4.tif,0.002,0.217,0.492,0.078,188,295,39.289,0.049,1.647,0.607,0.693
3842,4D-U-Z4.tif,0.006,0.459,0.383,0.122,66,288,125.838,0.102,1.310,0.763,0.736
3843,4D-U-Z4.tif,0.003,0.309,0.402,0.099,315,287,123.690,0.066,1.602,0.624,0.704
3844,4D-U-Z4.tif,0.001,0.217,0.274,0.072,402,287,112.620,0.039,2.300,0.435,0.540
3845,4D-U-Z4.tif,0.001,0.177,0.474,0.079,417,287,167.905,0.028,2.516,0.397,0.765
3846,4D-U-Z4.tif,0.006,0.344,0.652,0.121,645,289,149.931,0.083,1.423,0.703,0.830
3847,4D-U-Z4.tif,0.005,0.395,0.404,0.124,705,292,167.196,0.083,1.564,0.639,0.703
3848,4D-U-Z4.tif,0.008,0.450,0.512,0.140,750,294,154.440,0.096,1.292,0.774,0.771
3849,4D-U-Z4.tif,0.010,0.594,0.356,0.160,203,313,30.964,0.107,1.476,0.677,0.759
3850,4D-U-Z4.tif,0.004,0.347,0.453,0.111,369,300,8.531,0.082,1.325,0.755,0.703
3851,4D-U-Z4.tif,0.005,0.333,0.537,0.108,581,310,75.256,0.082,1.136,0.881,0.774
3852,4D-U-Z4.tif,0.002,0.244,0.384,0.074,1008,301,41.987,0.054,1.522,0.657,0.628
3853,4D-U-Z4.tif,0.001,0.172,0.451,0.059,129,297,21.801,0.033,1.841,0.543,0.707
3854,4D-U-Z4.tif,0.001,0.280,0.219,0.115,608,292,144.782,0.039,3.932,0.254,0.446
3855,4D-U-Z4.tif,0.006,0.380,0.565,0.136,728,294,133.363,0.078,1.628,0.614,0.793
3856,4D-U-Z4.tif,0.005,0.400,0.400,0.156,551,293,147.995,0.069,1.951,0.512,0.709
3857,4D-U-Z4.tif,0.001,0.148,0.743,0.052,666,301,57.995,0.043,1.168,0.856,0.819
3858,4D-U-Z4.tif,0.002,0.198,0.706,0.077,815,296,158.962,0.050,1.462,0.684,0.830
3859,4D-U-Z4.tif,0.002,0.202,0.628,0.079,170,295,155.225,0.044,1.638,0.610,0.822
3860,4D-U-Z4.tif,0.010,0.583,0.358,0.180,237,298,148.736,0.110,1.457,0.686,0.694
3861,4D-U-Z4.tif,0.003,0.347,0.326,0.117,984,299,8.130,0.044,2.523,0.396,0.723
3862,4D-U-Z4.tif,0.001,0.145,0.722,0.052,325,297,161.565,0.038,1.483,0.674,0.816
3863,4D-U-Z4.tif,0.004,0.283,0.596,0.101,149,299,157.620,0.064,1.502,0.666,0.791
3864,4D-U-Z4.tif,0.003,0.263,0.541,0.082,869,309,42.274,0.070,1.136,0.880,0.740
3865,4D-U-Z4.tif,0.007,0.341,0.793,0.111,32,300,147.095,0.097,1.027,0.974,0.895
3866,4D-U-Z4.tif,0.001,0.195,0.480,0.070,143,297,108.435,0.039,2.279,0.439,0.696
3867,4D-U-Z4.tif,0.004,0.259,0.657,0.094,668,306,20.556,0.064,1.506,0.664,0.795
3868,4D-U-Z4.tif,0.003,0.220,0.752,0.080,54,298,105.945,0.050,1.708,0.586,0.885
3869,4D-U-Z4.tif,0.015,0.736,0.342,0.183,271,329,48.652,0.149,1.287,0.777,0.751
3870,4D-U-Z4.tif,0.003,0.286,0.531,0.103,449,302,154.799,0.064,1.463,0.684,0.722
3871,4D-U-Z4.tif,0.001,0.174,0.593,0.079,602,298,155.225,0.032,2.868,0.349,0.825
3872,4D-U-Z4.tif,0.002,0.238,0.498,0.079,685,300,146.310,0.054,1.369,0.730,0.763
3873,4D-U-Z4.tif,0.002,0.195,0.620,0.070,881,299,141.340,0.047,1.524,0.656,0.800
3874,4D-U-Z4.tif,0.002,0.169,0.737,0.057,294,307,16.699,0.050,1.113,0.899,0.797
3875,4D-U-Z4.tif,0.004,0.286,0.578,0.105,426,307,6.009,0.061,1.758,0.569,0.803
3876,4D-U-Z4.tif,0.002,0.300,0.317,0.089,479,311,29.745,0.062,1.378,0.726,0.595
3877,4D-U-Z4.tif,0.003,0.258,0.498,0.079,631,311,33.690,0.062,1.382,0.723,0.702
3878,4D-U-Z4.tif,0.013,0.578,0.484,0.193,101,301,143.130,0.128,1.543,0.648,0.805
3879,4D-U-Z4.tif,0.005,0.466,0.302,0.117,165,308,8.130,0.085,1.224,0.817,0.698
3880,4D-U-Z4.tif,0.003,0.256,0.499,0.082,777,312,47.726,0.066,1.158,0.864,0.732
3881,4D-U-Z4.tif,0.002,0.181,0.698,0.063,823,311,37.875,0.052,1.159,0.862,0.769
